"list_og","list_sort","N","cor_pos","target_letter","fb_yn"
"F J L N P R T H","FHJLNPRT",8,2,"H",0
"L N V R T P","LNPRTV",6,2,"N",0
"M G I K E O","EGIKMO",6,3,"I",0
"D N H J L F P R","DFHJLNPR",8,6,"N",0
"S U Q","QSU",3,1,"Q",0
"O S U Q","OQSU",4,1,"O",0
"T R P","PRT",3,3,"T",0
"D F H J P L N R T","DFHJLNPRT",9,5,"L",0
"G I K M S O Q U W","GIKMOQSUW",9,3,"K",0
"E G O K M I","EGIKMO",6,2,"G",0
"H L J N P T R V","HJLNPRTV",8,3,"L",0
"S Q O U","OQSU",4,1,"O",0
"G K M I","GIKM",4,3,"K",0
"M I K G","GIKM",4,4,"M",0
"I K O M S Q U","IKMOQSU",7,2,"K",1
"M E G I K","EGIKM",5,1,"E",0
"Q G I K M O S U","GIKMOQSU",8,6,"Q",0
"F P J L N H R","FHJLNPR",7,2,"H",0
"R D F H J L N P","DFHJLNPR",8,7,"P",0
"D F H J R L N P","DFHJLNPR",8,1,"D",0
"H D F","DFH",3,2,"F",0
"G K M I O","GIKMO",5,4,"M",0
"O U S Q","OQSU",4,3,"S",0
"J P L N R","JLNPR",5,3,"N",0
"N J L P","JLNP",4,3,"N",0
"O M Q U S W","MOQSUW",6,4,"S",0
"D F J H L P N","DFHJLNP",7,6,"N",0
"H P L N J R","HJLNPR",6,2,"J",0
"M S Q O U","MOQSU",5,4,"S",0
"M I K O Q S U","IKMOQSU",7,7,"U",0
"F H P L N J","FHJLNP",6,4,"L",0
"Q K M O","KMOQ",4,1,"K",0
"L H J F","FHJL",4,2,"H",0
"H P J L N","HJLNP",5,4,"N",0
"G I O K M Q S","GIKMOQS",7,3,"K",0
"I M O K Q","IKMOQ",5,4,"O",0
"S K M O Q U W","KMOQSUW",7,7,"W",0
"Q M O S","MOQS",4,3,"Q",0
"G U K M O Q S I W","GIKMOQSUW",9,7,"S",0
"G I K M O S U Q W","GIKMOQSUW",9,3,"K",0
"D F H J L T P R N","DFHJLNPRT",9,9,"T",0
"G I K Q O M S","GIKMOQS",7,7,"S",0
"D H J L N F","DFHJLN",6,2,"F",0
"O M K Q","KMOQ",4,2,"M",0
"G I K M O W Q S U","GIKMOQSUW",9,1,"G",0
"M O S U Q W","MOQSUW",6,4,"S",0
"F H J N P R L T V","FHJLNPRTV",9,6,"P",0
"J L N T R P V","JLNPRTV",7,2,"L",0
"I M K O Q S W U","IKMOQSUW",8,2,"K",0
"E G I K M O U S Q","EGIKMOQSU",9,5,"M",0
"D F P H J L N R","DFHJLNPR",8,1,"D",0
"O K M I Q S U","IKMOQSU",7,1,"I",0
"J L H","HJL",3,3,"L",0
"N J L P R T V","JLNPRTV",7,1,"J",0
"G K M O I Q S U","GIKMOQSU",8,5,"O",1
"D H F J L P N","DFHJLNP",7,5,"L",0
"G O I K M","GIKMO",5,5,"O",0
"K G I E M O","EGIKMO",6,1,"E",0
"R F H J L N P D","DFHJLNPR",8,7,"P",0
"M Q O U S","MOQSU",5,2,"O",0
"D F H N J L P R T","DFHJLNPRT",9,5,"L",0
"D F H J N P L","DFHJLNP",7,6,"N",0
"G I E","EGI",3,1,"E",0
"Q O M S","MOQS",4,2,"O",0
"J H L P N R T","HJLNPRT",7,5,"P",0
"T P R","PRT",3,1,"P",0
"M G I K","GIKM",4,4,"M",0
"Q S O","OQS",3,1,"O",0
"G K I M Q O S U","GIKMOQSU",8,2,"I",0
"I K O Q S U M","IKMOQSU",7,5,"Q",0
"O I K M Q S U W","IKMOQSUW",8,6,"S",0
"I G M K O Q","GIKMOQ",6,5,"O",0
"N J L H P","HJLNP",5,2,"J",0
"H D F J L","DFHJL",5,5,"L",0
"F H J L P N T R","FHJLNPRT",8,3,"J",0
"V J L N P R T","JLNPRTV",7,2,"L",0
"H F J L P N R T","FHJLNPRT",8,6,"P",0
"D J H F L N P R","DFHJLNPR",8,7,"P",0
"I G K M Q O S","GIKMOQS",7,7,"S",0
"M I K O","IKMO",4,3,"M",0
"K M O I","IKMO",4,1,"I",0
"J L V N P R T","JLNPRTV",7,7,"V",0
"M S O Q","MOQS",4,4,"S",0
"J F H","FHJ",3,2,"H",0
"F J L H N P R","FHJLNPR",7,6,"P",1
"H F J L N P R V T","FHJLNPRTV",9,8,"T",0
"D F L H J N","DFHJLN",6,1,"D",0
"K M O Q U W S","KMOQSUW",7,1,"K",0
"P L N","LNP",3,1,"L",0
"K I G M","GIKM",4,3,"K",0
"D F J L N P R H T","DFHJLNPRT",9,9,"T",0
"U Q S","QSU",3,2,"S",0
"L N R T V P","LNPRTV",6,1,"L",0
"P R N","NPR",3,2,"P",0
"M K O S Q U","KMOQSU",6,5,"S",0
"F L H J N P R T","FHJLNPRT",8,6,"P",0
"N P R L T","LNPRT",5,3,"P",0
"M G I K O Q S U","GIKMOQSU",8,6,"Q",0
